"","author","title"
"9776","Austad J","Psoriasis of the face and flexures"
"9777","Austad J","A new scalp formulation of calcipotriene plus betamethasone compared with its active ingredients and the vehicle in the treatment of scalp psoriasis: A randomized, double-blind, controlled trial"
"9778","Austin RAE","Evidence of nontermination of collective rotation near the maximum angular momentum in Rb-75"
"9779","Aoustin C","Integration of a 16-Channel Low Power CMOS Instrumentation Chain for Electron and Charged Particle Detection in Astrophysics"
"9780","Austin N","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"9781","Austin N","Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead Collisions at root s(NN)=2.76 TeV with the ATLAS Detector at the LHC"
"9782","Austin N","Performance of the ATLAS detector using first collision data"
"9783","Austin JD","Confronting the costs and conflicts associated with biodiversity"
"9784","Aoustin E","Plastic waste management in the context of a European recycling society: Comparing results and uncertainties in a life cycle perspective"
"9785","Austin J","Multimodel assessment of the factors driving stratospheric ozone evolution over the 21st century"
"9786","Austin N","Readiness of the ATLAS liquid argon calorimeter for LHC collisions"
"9787","Austin N","Drift Time Measurement in the ATLAS Liquid Argon Electromagnetic Calorimeter using Cosmic Muons"
"9788","Austin N","The ATLAS Inner Detector commissioning and calibration"
"9789","Austin N","The ATLAS Simulation Infrastructure"
"9790","Austin N","Commissioning of the ATLAS Muon Spectrometer with cosmic rays"
"9791","Austin N","Readiness of the ATLAS Tile Calorimeter for LHC collisions"
"9792","Austin MA","Variant ABO Blood Group Alleles, Secretor Status, and Risk of Pancreatic Cancer: Results from the Pancreatic Cancer Cohort Consortium"
"9793","Austin P","Experimental demonstration of an anode voltage sensor for high voltage IGBT over-voltage protection"
"9794","Austin J","Decline and recovery of total column ozone using a multimodel time series analysis"
"9795","Austin J","Chemistry-climate model simulations of spring Antarctic ozone"
"9796","Austin J","Multimodel assessment of the upper troposphere and lower stratosphere: Tropics and global trends"
"9797","Austin J","Multimodel assessment of the upper troposphere and lower stratosphere: Extratropics"
"9798","Austin J","Impact of stratospheric ozone on Southern Hemisphere circulation change: A multimodel assessment"
"9799","Austin P","Sensitive Volume and Triggering Criteria of SEB in Classic Planar VDMOS"
"9800","Austin N","Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC"
"9801","Aoustin C","The Mercury Electron Analyzers for the Bepi Colombo mission"
"9802","Austin J","Stratosphere-troposphere coupling and annular mode variability in chemistry-climate models"
"9803","Austin J","Review of the formulation of present-generation stratospheric chemistry-climate models and associated external forcings"
"9804","Austin J","Performance of the Abbott RealTime High-Risk HPV Test in Women With Abnormal Cervical Cytology Smears"
"9805","Aoustin Y","Distribution of Forces Between Synergistics and Antagonistics Muscles Using an Optimization Criterion Depending on Muscle Contraction Behavior"
"9806","Austin AM","Clinical Variability of Familial Tumoral Calcinosis Caused by Novel GALNT3 Mutations"
"9807","Austin MJ","Mean Lagrangian flow behavior on an open coast rip-channeled beach: A new perspective"
"9808","Aoustin Y","Design of a walking cyclic gait with single support phases and impacts for the locomotor system of a thirteen-link 3D biped using the parametric optimization"
"9809","Austin SM","Extraction of weak transition strengths via the (He-3, t) reaction at 420 MeV"
"9810","Austin JW","Reticulitermes malletei (Isoptera : Rhinotermitidae): a valid nearctic subterranean termite from eastern North America"
"9811","Austen M","MEDI 56-Azapaullones: GSK-3 inhibitors activating beta cell protection and proliferation"
"9812","Austin EJ","A preliminary study of empathy, emotional intelligence and examination performance in MBChB students"
"9813","Aoustin M","Cost of dialysis in France"
"9814","Austin RAE","TRIUMF-ISAC Gamma-Ray Escape-Suppressed Spectrometer (TIGRESS): a versatile tool for radioactive beam physics"
"9815","Austin RAE","High-spin lifetime measurements in the N=Z nucleus Kr-72"
"9816","Aoustin Y","Modeling and optimal trajectory planning of a biped robot using Newton-Euler formulation"
"9817","Austin RAE","Identification of the G(/2)(9) proton and neutron band crossing in the N = Z nucleus Sr-76"
"9818","Austin DA","Optical mode control of surface-plasmon quantum cascade lasers"
"9819","Austin D","Room-temperature operation of mid-infrared surfaceplasmon quantum cascade lasers"
"9820","Aoustin Y","Observer-based control of a walking planar biped robot: stability analysis"
"9821","Austin P","SEB characterisation of commercial power MOSFETs with backside laser and heavy ions of different ranges"
"9822","Aoustin C","Rosina - Rosetta orbiter spectrometer for ion and neutral analysis"
"9823","Aoustin Y","GAIN PROPERTY FOR BIPED WALKING VIA LEG LENGTH VARIATION"
"9824","Aoustin Y","Observer-based control of a walking biped robot: stability analysis"
"9825","Austin P","Evolution of the classical functional integration towards a 3D heterogeneous functional integration"
"9826","Austin P","Design of an integrated self-switching mode device for power converters"
"9827","Austin P","Simulation based analysis of a monolithically integrated fast and slow IGBT structure (U)"
"9828","Austin J","Comparison of Predictors for High-Grade Cervical Intraepithelial Neoplasia in Women with Abnormal Smears"
"9829","Austin GE","Climate change causes rapid changes in the distribution and site abundance of birds in winter"
"9830","Austin SM","Gamow-Teller strengths in (24)Na using the (24)Mg(t,(3)He) reaction at 115A MeV"
"9831","Austin RAE","Deformation of rotational structures in (73)Kr and (74)Rb: Probing the additivity principle at triaxial shapes"
"9832","Austen KF","Job submission to grid computing environments"
"9833","Austin P","SEB Characterization of Commercial Power MOSFETs With Backside Laser and Heavy Ions of Different Ranges"
"9834","Austin N","The ATLAS Experiment at the CERN Large Hadron Collider"
"9835","Austin N","Combined performance tests before installation of the ATLAS Semiconductor and Transition Radiation Tracking Detectors"
"9836","Austin P","Performance and reliability testing of modern IGBT devices under typical operating conditions of aeronautic applications"
"9837","Austin J","Coupled chemistry climate model simulations of the solar cycle in ozone and temperature"
"9838","Austin P","The Bi-IGBT: a low losses power structure by IGBT parallel association"
"9839","Austen M","9-cyano-1-azapaullone (cazpaullone), a glycogen synthase kinase-3 (GSK-3) inhibitor activating pancreatic beta cell protection and replication"
"9840","Aoustin C","STEREO IMPACT investigation goals, measurements, and data products overview"
"9841","Aoustin C","The IMPACT solar wind electron analyzer (SWEA)"
"9842","Aoustin E","Multi-objective optimization of RO desalination plants"
"9843","Aoustin E","LCA tool for the environmental evaluation of potable water production"
"9844","Austin MB","Structure and function of enzymes involved in the biosynthesis of phenylpropanoids"
"9845","Austin RAE","Low-spin lifetime measurements in (74)Kr"
"9846","Austin SM","Gamow-Teller strength for the analog transitions to the first T=1/2,J(pi)=3/2(-) states in (13)C and (13)N and the implications for type Ia supernovae"
"9847","Austin JA","Neogene history of the northeastern New Caledonia continental margin from multichannel reflection seismic profiles"
"9848","Austin RT","Testing IWC retrieval methods using radar and ancillary measurements with in situ data"
"9849","Aoustin E","Influence of impact assessment methods in wastewater treatment LCA"
"9850","Aoustin Y","Experimental comparison of several posture estimation solutions for biped robot Rabbit"
"9851","Aoustin Y","Optimal reference walking with rotation of the stance feet in single support for a 3D biped"
"9852","Aoustin Y","On optimal swinging of the biped arms"
"9853","Aoustin Y","Optimal control of a neuromusculoskeletal model: a second order sliding mode solution"
"9854","Austin P","Experimental study of power IGBT technologies at large range temperature"
"9855","Austin P","Development of a self-protected and self-controlled integrated power switch: comparison of two circuit architectures"
"9856","Aoustin JL","New Linearizer Channel Amplifier family designed to optimize TWT operation"
"9857","Austin JJ","Revising the recent evolutionary history of equids using ancient DNA"
"9858","Austin M","Denosumab for Prevention of Fractures in Postmenopausal Women With Osteoporosis EDITORIAL COMMENT"
"9859","Aoustin E","Greenhouse gas accounting and waste management"
"9860","Aoustin E","Broadening GHG accounting with LCA: application to a waste management business unit"
"9861","Austin J","The new IASLC/ATS/ERS international multidisciplinary lung adenocarcinoma classification"
"9862","Austin M","Denosumab for Prevention of Fractures in Postmenopausal Women with Osteoporosis"
"9863","Austin J","Coupled chemistry climate model simulations of stratospheric temperatures and their trends for the recent past"
"9864","Aoustin Y","Effect of circular arc feet on a control law for a biped"
"9865","Aoustin Y","Comparison of different gaits with rotation of the feet for a planar biped"
"9866","Aoustin Y","Ball on a beam: stabilization under saturated input control with large basin of attraction"
"9867","Austin P","Advances in understanding the late Holocene history of the Aral Sea region"
"9868","Austin J","An update of observed stratospheric temperature trends"
"9869","Austin J","The simulation of the Antarctic ozone hole by chemistry-climate models"
"9870","Austin PH","Nature of the Mesoscale Boundary Layer Height and Water Vapor Variability Observed 14 June 2002 during the IHOP_2002 Campaign"
"9871","Austin M","THE EFFECTS OF DENOSUMAB ON FRACTURE RISK IN WOMEN WITH OSTEOPOROSIS"
"9872","Austin P","New self-controlled and self-protected IGBT based integrated switch"
"9873","Aoustin Y","Beam-and-Ball System under Limited Control: Stabilization with Large Basin of Attraction"
"9874","Aoustin Y","OPTIMAL REFERENCE MOTIONS WITH ROTATION OF THE FEET FOR A BIPED"
"9875","Aoustin Y","New instruments to monitor coastal sea water masses according to European Water Framework Directive, Trophimatique project"
"9876","Austing G","Response of a 2DEG to microwave irradiation"
"9877","Austing G","Charged excitons in fractional quantum Hall regime"
"9878","Austeng A","CAPON BEAMFORMING FOR ACTIVE ULTRASOUND IMAGING SYSTEMS"
"9879","Auster U","THEMIS observations of electron cyclotron harmonic emissions, ULF waves, and pulsating auroras"
"9880","Auster U","Identifying the Driver of Pulsating Aurora"
"9881","Auster U","THEMIS analysis of observed equatorial electron distributions responsible for the chorus excitation"
"9882","Auster HU","The fluxgate magnetometer of the BepiColombo Mercury Planetary Orbiter"
"9883","Auster HU","The THEMIS Magnetic Cleanliness Program"
"9884","Auster U","First Results from the THEMIS Mission"
"9885","Auster HU","First Results of the THEMIS Search Coil Magnetometers"
"9886","Auster HU","Correlation of substorm injections, auroral modulations, and ground Pi2"
"9887","Auster HU","Turbulent heating and cross-field transport near the magnetopause from THEMIS"
"9888","Auster HU","THEMIS observations of a hot flow anomaly: Solar wind, magnetosheath, and ground-based measurements"
"9889","Auster HU","Determination of the substorm initiation region from a major conjunction interval of THEMIS satellites"
"9890","Auster HU","Deformation and evolution of solar wind discontinuities through their interactions with the Earth's bow shock"
"9891","Auster U","Simultaneous measurements of Martian plasma boundaries by Rosetta and Mars Express"
"9892","Auster HU","Substorm expansion triggered by a sudden impulse front propagating from the dayside magnetopause"
"9893","Auster U","Global distribution of whistler-mode chorus waves observed on the THEMIS spacecraft"
"9894","Auster HU","Evaluation of whistler-mode chorus intensification on the nightside during an injection event observed on the THEMIS spacecraft"
"9895","Auster U","Quasi-parallel whistler mode waves observed by THEMIS during near-earth dipolarizations"
"9896","Auster U","Rosetta swing-by at Mars - an analysis of the ROMAP measurements in comparison with results of 3-D multi-ion hybrid simulations and MEX/ASPERA-3 data"
"9897","Auster U","Rosetta and Mars Express observations of the influence of high solar wind pressure on the Martian plasma environment"
"9898","Austerlitz F","A homoallelic FECH mutation in a patient with both erythropoietic protoporphyria and palmar keratoderma"
"9899","Austerlitz F","A Prevalent Mutation with Founder Effect in Xeroderma Pigmentosum Group C from North Africa"
"9900","Austerlitz F","Oculocutaneous albinism type 2 (OCA2) with homozygous 2.7-kb deletion of the P gene and sickle cell disease in a Cameroonian family. Identification of a common TAG haplotype in the mutated P gene"
"9901","Austerlitz F","Long distance pollen-mediated gene flow at a landscape level: the weed beet as a case study"
"9902","Austerlitz F","POLDISP: a software package for indirect estimation of contemporary pollen dispersal"
"9903","Austerlitz F","Estimating anisotropic pollen dispersal: a case study in Quercus lobata"
"9904","Austerlitz F","Modelling and estimating pollen movement in oilseed rape (Brassica napus) at the landscape scale using genetic markers"
"9905","Austerlitz F","From social to genetic structures in central Asia"
"9906","Austerlitz F","Genetic traces of east-to-west human expansion waves in Eurasia"
"9907","Austerlitz F","Apparent mutational hotspots and long distance linkage disequilibrium resulting from a bottleneck"
"9908","Austerlitz F","High paternal diversity in the self-incompatible herb Arabidopsis halleri despite clonal reproduction and spatially restricted pollen dispersal"
"9909","Austerlitz F","Population genetic diversity of the NAT2 gene supports a role of acetylation in human adaptation to farming in Central Asia"
"9910","Austerlitz F","Update to Heyer's ""One Founder/One Gene Hypothesis in a New Expanding Population"" (1999)"
"9911","Austerlitz F","Origins and Genetic Diversity of Pygmy Hunter-Gatherers from Western Central Africa"
"9912","Austerlitz F","DNA barcode analysis: a comparison of phylogenetic and statistical classification methods"
"9913","Austerlitz F","Social behavior and genetic diversity, in human populations"
"9914","Austermann JE","The far-infrared/submillimeter properties of galaxies located behind the Bullet cluster"
"9915","Austermann JE","An AzTEC 1.1 mm survey of the GOODS-N field - I. Maps, catalogue and source statistics"
"9916","Austermann JE","An AzTEC 1.1 mm survey of the GOODS-N field - II. Multiwavelength identifications and redshift distribution"
"9917","Austmo LB","Selectivity of Eurasian lynx Lynx lynx and recreational hunters for age, sex and body condition in roe deer Capreolus capreolus"
"9918","Austregesilo A","Observation of a J(PC)=1(-+) Exotic Resonance in Diffractive Dissociation of 190 GeV/c pi(-) into pi(-)pi(-)pi(+)"
"9919","Austregesilo A","Azimuthal asymmetries of charged hadrons produced by high-energy muons scattered off longitudinally polarised deuterons"
"9920","Austregesilo A","Quark helicity distributions from longitudinal spin asymmetries in muon-proton and muon-deuteron scattering"
"9921","Austregesilo A","Measurement of the Collins and Sivers asymmetries on transversely polarised protons"
"9922","Austregesilo A","The spin-dependent structure function of the proton g(1)(p) and a test of the Bjorken sum rule"
"9923","Austregesilo H","B4C oxidation modelling in severe accident codes: Applications to PHEBUS and QUENCH experiments"
"9924","Austregesilo H","Understanding the behaviour of absorber elements in silver-indium-cadmium control rods during PWR severe accident sequences"
"9925","Austregesilo A","Measurement of the longitudinal spin transfer to Lambda and (Lambda)over-bar hyperons in polarised muon DIS"
"9926","Austregesilo A","Flavour separation of helicity distributions from deep inelastic muon-deuteron scattering"
"9927","Austregisilio A","Gluon polarisation in the nucleon and longitudinal double spin asymmetries from open charm muoproduction"
"9928","Aastrup J","Boutet de Monvel's calculus and groupoids I"
"9929","Aastrup T","Multivalent recognition of lectins by glyconanoparticle systems"
"9930","Aastrup T","Dynamic glycovesicle systems for amplified QCM detection of carbohydrate-lectin multivalent biorecognition"
"9931","Aastrup P","Ecological Dynamics Across the Arctic Associated with Recent Climate Change"
"9932","Austruy C","Experimental Testing and Analytical Prediction of the Behaviour of Timber Bolted Connections Subjected to Fire"
"9933","Austruy G","Inactivation of prion infectivity by ionizing rays"
"9934","Austruy J","Constrained-layer damping with gradient polymers for effectiveness over broad temperature ranges"
"9935","Austruy J","Are there specific prognostic factors for acute coronary syndrome in patients over 80 years of age?"
"9936","Austruy J","Risk of Neurological Decompression Sickness in the Diver With a Right-to-Left Shunt: Literature Review and Meta-Analysis"
"9937","Austyn JM","Nomenclature of monocytes and dendritic cells in blood"
"9938","Aasvee K","Body weight dissatisfaction and communication with parents among adolescents in 24 countries: international cross-sectional survey"
"9939","Ait-Belghiti F","EPISOUTH: A FRAMEWORK OF COLLABORATION FOR COMMUNICABLE DISEASES SURVEILLANCE AND TRAINING IN THE MEDITERRANEAN AREA"
"9940","Ait-Khaled M","HIV integrase resistance profiles and S/GSK1349572 baseline phenotypic susceptibility for individuals experiencing virological failure on raltegravir and enrolling in the VIKING Phase IIb Pilot Study (ING112961)"
"9941","Ait-Ameur Y","A Language for Ontology-Based Metamodeling Systems"
"9942","Ait S","Hemichorea in an elderly patient revealing primary antiphospholipid syndrome"
"9943","Ait-Ahmed M","An Anticipative Control Application for Marine On-Board Electrical Network"
"9944","Ait-Idir T","A Fast Soft Bit Error Rate Estimation Method"
"9945","Aiuti A","Relevance of an Academic GMP Pan-European Vector Infra-Structure (PEVI)"
"9946","Ait-El-Mkadem S","Association of insulin receptor genetic variants with polycystic ovary syndrome in a population of women from Central Europe"
"9947","Ait-Abdesselam T","Anakinra efficacy in a Caucasian patient with renal AA amyloidosis secondary to cryopyrin-associated periodic syndrome"
"9948","Aiuti A","LV mediated Gene therapy for Wiskott-Aldrich Syndrome: in vitro and in vivo preclinical studies"
"9949","Aiuti A","Gene therapy trial with lentiviral vector transduced CD34+cells for the treatment of Wiskott-Aldrich Syndrome"
"9950","Ait-Oufella H","B-Cell Depletion Reduces Development of Atherosclerosis in Mice"
"9951","Ait-Ahmed O","A single mutation results in diploid gamete formation and parthenogenesis in a Drosophila yemanuclein-alpha meiosis I defective mutant"
"9952","Ait-Belkacem D","Polarization and Phase Pulse Shaping applied to nonlinear tensorial structure read-out"
"9953","Aita M","Future Scenarios for the Treatment of Advanced Non-Small Cell Lung Cancer: Focus on Taxane-Containing Regimens"
"9954","Ait-Si-Ali S","Preferential association of irreversibly silenced E2F-target genes with pericentromeric heterochromatin in differentiated muscle cells"
"9955","Aout M","Insulin resistance, serum leptin, and adiponectin levels and outcomes of viral hepatitis C cirrhosis"
"9956","Ait-Khaled N","Uniform definition of asthma severity, control, and exacerbations: Document presented for the World Health Organization Consultation on Severe Asthma"
"9957","Aouate P","A case for ambidextrous doctors"
"9958","Ait-Kaci H","Electronic Properties of InAs/GaSb Superlattice Detectors to Evaluate High Temperature Operation."
"9959","Ait-Mohand K","Font adaptation of an HMM-based OCR system"
"9960","Ait-Aissa S","Anti-androgenic activities of environmental pesticides in the MDA-kb2 reporter cell line"
"9961","Ait-Oufella H","Role of TGF beta in a model of abdominal aortic aneurysm in mice"
"9962","Aout M","USEFULNESS OF ROUTINE LABORATORY PARAMETERS IN THE DECISION TO TREAT REFRACTORY CARDIAC ARREST WITH EXTRACORPOREAL LIFE SUPPORT"
"9963","Ait-Aoudia S","A 2D geometric constraint solver using a graph reduction method"
"9964","Ait-Mokhtar O","Level of Adenosine Diphosphate Receptor P2Y(12) Blockade During Percutaneous Coronary Intervention Predicts the Extent of Endothelial Injury, Assessed by Circulating Endothelial Cell Measurement"
"9965","Aout M","Metformin therapy and outcomes of viral C cirrhosis in type 2 diabetic patients. A retrospective study"
"9966","Ait-Oufella H","Pleural Ultrasound Compared With Chest Radiographic Detection of Pneumothorax Resolution After Drainage"
"9967","Ait-Mokhtar A","Two-dimensional hygrothermal transfer in porous building materials"
"9968","Ait-Sahalia Y","IS BROWNIAN MOTION NECESSARY TO MODEL HIGH-FREQUENCY DATA?"
"9969","Ait-Bara S","Characterization of the RNA Degradosome of Pseudoalteromonas haloplanktis: Conservation of the RNase E-RhlB Interaction in the Gammaproteobacteria"
"9970","Ait-Khaled N","Development and implementation of guidelines in allergic rhinitis - an ARIA-GA2LEN paper"
"9971","Ait-Oudhia S","Simultaneous Pharmacokinetics/Pharmacodynamics Modeling of Recombinant Human Erythropoietin upon Multiple Intravenous Dosing in Rats"
"9972","Ait-Goughoulte M","Replication cycle of HBV and antiviral molecules"
"9973","Ait-Sahalia Y","Estimating affine multifactor term structure models using closed-form likelihood expansions"
"9974","Ait-Oufella H","B cell depletion reduces the development of atherosclerosis in mice"
"9975","Ait-Goughoulte M","Innate Antiviral Immune Responses to Hepatitis B Virus"
"9976","Ait-Youcef R","Asymmetric Synthesis of Sphinganine and Clavaminol H"
"9977","Ait-Kaci A","Measurement and prediction of (solid plus liquid) equilibrium for sulfur compounds with aliphatic hydrocarbons"
"9978","Ait-Oudhia S","Time-Dependent Clearance and Hematological Pharmacodynamics upon Erythropoietin Multiple Dosing in Rats"
"9979","Ait-Ameur K","Properties of a laser cavity containing an absorbing ring"
"9980","Ait-Khaled M","HIV integrase resistance profiles and S/GSK1349572 baseline phenotypic susceptibility for individuals experiencing virological failure on raltegravir and enrolling in the VIKING Phase IIb Pilot Study (ING112961)"
"9981","Ait-Lounis A","The Transcription Factor Rfx3 Regulates beta-Cell Differentiation, Function, and Glucokinase Expression"
"9982","Ait-Belkacem D","Influence of birefringence on polarization resolved nonlinear microscopy and collagen SHG structural imaging"
"9983","Ait-Aissa S","Monitoring organic contaminants in small French coastal lagoons: comparison of levels in mussel, passive sampler and sediment"
"9984","Ait-Oufella H","The endothelium: physiological functions and role in microcirculatory failure during severe sepsis"
"9985","Ait-Ameur K","Cascades of pi-phase plates: a transparent diffractive focusing system"
"9986","Aout M","Intermediate Hepatobiliary Cells Predict an Increased Risk of Hepatocarcinogenesis in Patients With Hepatitis C Virus-Related Cirrhosis"
"9987","Ait-Oufella H","Long-term reduction in aortic stiffness in hypertensive patients is partly independent of mbp reduction"
"9988","Aout M","Differentiation between true focal liver lesions and pseudolesions in patients with fatty liver: evaluation of helical CT criteria"
"9989","Aout M","Prognosis of HCV cirrhosis according to insulin resistance, plasma leptin and adiponectin."
"9990","Aout M","A simple new score to select women obese or overweight who achieve a glucose load."
"9991","Aout M","Treatment with metformin is associated with a reduction in the incidence of hepatocellular carcinoma in cirrhotic diabetic viral C."
"9992","Aout M","Diabetes is an independent risk factor of distant recurrence of hepatocellular carcinoma treated by radiofrequency unique among cirrhotic Child Pugh A."
"9993","Ait-Arkoub Z","Evaluation of the LightCycler (R) 480 real-time PCR system for the measurement of CMV, EBV, HHV-6 and BKV viral loads in whole blood"
"9994","Ait-Idir T","Turbo Packet Combining for Broadband Space-Time BICM Hybrid-ARQ Systems with Co-Channel Interference"
"9995","Aout M","TREATMENT BY RADIOFREQUENCY ABLATION FOLLOWED BY SALVAGE TRANSPLANTATION IN PATIENTS WITH CHILD PUGH A CIRRHOSIS AND HCC WITHIN MILAN CRITERIA"
"9996","Ait-Ameur L","A diet based on high-heat-treated foods promotes risk factors for diabetes mellitus and cardiovascular diseases"
"9997","Ait-Ahmed N","A comparative study of voltage controllers for series active power filter"
"9998","Ait-Aissa S","Endocrine disruption in wild populations of chub (Leuciscus cephalus) in contaminated French streams"
"9999","Ait-Khaled N","Assessing allergic rhinitis in developing countries"
"10000","Ait-Aissa S","Impact of Urban Wastewater Discharges on the Sediments of a Small Mediterranean River and Associated Coastal Environment: Assessment of Estrogenic and Dioxin-like Activities"
"10001","Ait-Khaled N","Which population level environmental factors are associated with asthma, rhinoconjunctivitis and eczema? Review of the ecological analyses of ISAAC Phase One"
"10002","Ait-Ameur K","Modeling the propagation of apertured high-order Laguerre-Gaussian beams by a user-friendly version of the mode expansion method"
"10003","Aout M","Suspected Anastomotic Recurrence of Crohn Disease after Ileocolic Resection: Evaluation with CT Enteroclysis"
"10004","Ait-Mohamed O","The Core Binding Factor CBF Negatively Regulates Skeletal Muscle Terminal Differentiation"
"10005","Ait-Si-Ali S","The Core Binding Factor CBF Negatively Regulates Skeletal Muscle Terminal Differentiation"
"10006","Ait-Haddou R","A refinement of the variation diminishing property of Bezier curves"
"10007","Aiuti A","Revertant T lymphocytes in a patient with Wiskott-Aldrich syndrome: Analysis of function and distribution in lymphoid organs"
"10008","Ait-Amokhtar H","Crossover from continuous to discontinuous propagation in the Portevin-Le Chatelier effect"
"10009","Ait-El-Fquih B","A Fixed-Lag Particle Smoother for Blind SISO Equalization of Time-Varying Channels"
"10010","Ait-Belkacem D","Polarization and phase pulse shaping applied to structural contrast in nonlinear microscopy imaging"
"10011","Ait-Oufella H","TGF-beta activity protects against inflammatory aortic aneurysm progression and complications in angiotensin II-infused mice"
"10012","Ait-Si-Ali S","A Subset of the Histone H3 Lysine 9 Methyltransferases Suv39h1, G9a, GLP, and SETDB1 Participate in a Multimeric Complex"
"10013","Ait-Ali N","The homeobox gene CHX10/VSX2 regulates RdCVF promoter activity in the inner retina"
"10014","Ait-Aissa S","Bioanalytical characterisation of multiple endocrine- and dioxin-like activities in sediments from reference and impacted small rivers"
"10015","Ait-Aissa S","Evaluation of an hPXR reporter gene assay for the detection of aquatic emerging pollutants: screening of chemicals and application to water samples"
"10016","Ait-Oufella H","Defective leptin/leptin receptor signaling improves regulatory T cell immune response and protects mice from atherosclerosis"
"10017","Aiet-Yahya-Graison E","Homocysteine threshold value based on cystathionine beta synthase and paraoxonase 1 activities in mice"
"10018","Aiuti A","Progress and prospects: gene therapy clinical trials (part 2) (vol 14, pg 1555, 2007)"
"10019","Ait-Salah A","Nanoscopic scale studies of LiFePO4 as cathode material in lithium-ion batteries for HEV application"
"10020","Aita C","Simulating the effects of N availability, straw particle size and location in soil on C and N mineralization"
"10021","Aout M","Multicentric study of monocyte HLA-DR expression as prognostic marker in severe sepsis or shock with moe"
"10022","Aout M","Genotyping of HLA-DRB may be associated with evolution of septic MOF"
"10023","Autio K","SAFE ICE: Low-temperature pressure processing of foods: Safety and quality aspects, process parameters and consumer acceptance"
"10024","Ait-Salah A","Novel lithium iron pyrophosphate (LiFe1.5P2O7) as a positive electrode for li-ion batteries"
"10025","Aoto T","Autoionization of the Ne+ Rydberg states formed via valence photoemission"
"10026","Aoto T","Appearance of interatomic coulombic decay in ar, kr, and xe homonuclear dimers"
"10027","Ait-Mansour K","Original Ge-induced phenomena on various SiC(0001) reconstructions"
"10028","Ait-Oufella H","Natural CD4+CD25+ regulatory T cells control the development of abdominal aortic aneurysm"
"10029","Ait-Oufella H","Detective leptin signaling improves regulatory T cell immune response and protects mice from atherosclerosis"
"10030","Ait-Oufella H","Measles virus nucleoprotein induces a regulatory immune response and reduces atherosclerosis in mice"
"10031","Aiuti A","Comparative integration site analysis in 6 gene therapy studies"
"10032","Aite R","Panafrican brittle deformation and palaeostress superposition in northern Togo (West Africa)"
"10033","Aiuti A","Gene therapy of Wiskott-Aldrich syndrome"
"10034","Ait-Kaci M","A patient with RSMD1 associated with the particular SEPN1 c.G872A mutation"
"10035","Ait-Ameur N","Anthropogenic carbon distribution in the Ross Sea, Antarctica"
"10036","Aoto T","Single, double, and triple Auger decay of the Xe 4p core-hole states"
"10037","Aiuti A","Gene therapy in Wiskott Aldrich syndrome: Long-term efficacy and safety studies in WAS(-/-) murine model"
"10038","Ait-Kadi D","Product modeling framework for behavioral performance evaluation at design stage"
"10039","Ait-Belgnaoui A","Dexamethasone prevents visceral hyperalgesia but not colonic permeability increase induced by luminal protease-activated receptor-2 agonist in rats"
"10040","Ait-Aissa S","Induction and action of interferon-gamma in human echinococcosis"
"10041","Ait-Oufella H","Atheroprotective effect of CD31 receptor globulin through enrichment of circulating regulatory T-cells"
"10042","Ait-Oufella H","Variation in natriuretic peptides and mitral flow indexes during successful ventilatory weaning: a preliminary study"
"10043","Aoto T","State-selective cross sections of multiple photoionization in Ne"
"10044","Autes G","Orbital contribution to the magnetic properties of iron as a function of dimensionality"
"10045","Ait-Kaci A","Vapour-liquid equilibria, enthalpy of mixing of binary mixtures containing diisopropylether 'DIPE' and monoaromatic hydrocarbons - Experimental results and modelling"
"10046","Ait-Said ED","Validation of a pictorial rating scale for grip strength evaluation in 3-to 6-year-old children"
"10047","Ait-Ameur K","Saturable absorber design for efficient Q-switch laser operation"
"10048","Ait-Aider H","Importance of W/C ratio on compressive strength of concrete in hot climate conditions"
"10049","Ait-Taleb-Ali O","Comparative study of sputtered and electrodeposited CI(S,Se) and CIGSe thin films"
"10050","Ait-Ameur L","Kinetics of formation of three indicators of the maillard reaction in model cookies: Influence of baking temperature and type of sugar"
"10051","Ait-Belghiti F","What is tuberculosis surveillance in the European Union telling us?"
"10052","Ait-Kaci A","Solid-liquid equilibria of three binary systems: {1-Ethyl-3-methylimidazolium hexafluorophosphate+2-phenylimidazole, or 4,5-diphenylimidazole or 2,4,5-triphenylimidazole}"
"10053","Aoto T","Double photoionization into double core-hole states in Xe"
"10054","Aiuti A","Management options for adenosine deaminase deficiency; proceedings of the EBMT satellite workshop (Hamburg, March 2006)"
"10055","Ait-Oufella H","Regulatory T-cell immunity in atherosclerosis"
"10056","Ait-Oufella H","Lactadherin deficiency leads to apoptotic cell accumulation and accelerated atherosclerosis in mice"
"10057","Ait-Mouloud S","Collembolan communities in a peat bog versus surrounding forest analyzed by using self-organizing map"
"10058","Ait-Goughoulte M","Core protein domains involved in hepatitis C virus-like particle assembly and budding at the endoplasmic reticulum membrane"
"10059","Ait-Lounis A","Novel function of the ciliogenic transcription factor RFX3 in development of the endocrine pancreas"
"10060","Ait-Ali D","TNF-alpha signaling through NF-kappa B in chromaffin cells-identification of novel targets with suppression subtractive hybridization study"
